index,player,position,team,stadium,location,capacity,opened
0,lamar jackson,qb,ravens,m&t bank stadium,"baltimore, maryland","71,008",1998
1,darius slay,cb,eagles,lincoln financial field,"philadelphia, pennsylvania","69,596",2003
2,roquan smith,lb,bears,soldier field,"chicago, illinois","61,500",1924[nb 1]
3,dalvin cook,rb,vikings,u.s. bank stadium,"minneapolis, minnesota","66,655",2016
4,wyatt teller,g,browns,firstenergy stadium,"cleveland, ohio","67,895",1999
5,david montgomery,rb,bears,soldier field,"chicago, illinois","61,500",1924[nb 1]
6,kyler murray,qb,cardinals,state farm stadium,"glendale, arizona","63,400",2006
7,marshon lattimore,cb,saints,mercedes-benz superdome,"new orleans, louisiana","73,208",1975
8,maxx crosby,de,raiders,allegiant stadium,"paradise, nevada","65,000",2020
9,tyrann mathieu,s,saints,mercedes-benz superdome,"new orleans, louisiana","73,208",1975
10,alvin kamara,rb,saints,mercedes-benz superdome,new orleans,"73,208",1975
11,deebo samuel,wr,49ers,levi's stadium,"santa clara, california","68,500",2014
12,cameron heyward,de,steelers,heinz field,"pittsburgh, pennsylvania","68,400",2001
13,derwin james,s,chargers,sofi stadium,"inglewood, california","70,240",2020
14,quandre diggs,s,seahawks,lumen field,"seattle, washington","69,000",2002
15,tyreek hill,wr,dolphins,hard rock stadium,"miami gardens, florida","65,326",1987
16,jonathan taylor,rb,colts,lucas oil stadium,"indianapolis, indiana","67,000",2008
17,kirk cousins,qb,vikings,u.s. bank stadium,"minneapolis, minnesota","66,655",2016
18,fred warner,lb,49ers,levi's stadium,"santa clara, california","68,500",2014
19,cordarrelle patterson,rb,falcons,mercedes-benz stadium,"atlanta, georgia","71,000",2017
20,cameron jordan,de,saints,mercedes-benz superdome,"new orleans, louisiana","73,208",1975
21,von miller,lb,bills,bills stadium,"orchard park, new york","71,608",1973
22,zack martin,g,cowboys,at&t stadium,"arlington, texas","80,000",2009
23,j.c. jackson,cb,chargers,sofi stadium,"inglewood, california","70,240",2020
24,trey hendrickson,de,bengals,paul brown stadium,"cincinnati, ohio","65,515",2000
25,tristan wirfs,ot,buccaneers,raymond james stadium,"tampa, florida","65,890",1998
26,trent williams,ot,49ers,levi's stadium,"santa clara, california","68,500",2014
27,chris jones,de,chiefs,arrowhead stadium,"kansas city, missouri","76,416",1972
28,darren waller,te,raiders,allegiant stadium,"paradise, nevada","65,000",2020
29,jason kelce,c,eagles,lincoln financial field,"philadelphia, pennsylvania","69,596",2003
30,myles garrett,de,browns,firstenergy stadium,"cleveland, ohio","67,895",1999
31,dalvin cook,rb,vikings,us bank stadium,minneapolis,"66,655",2016
32,micah parsons,lb,cowboys,at&t stadium,"arlington, texas","80,000",2009
33,tom brady,qb,buccaneers,raymond james stadium,"tampa, florida","65,890",1998
34,tom brad,qb,buccaneer,raymond james,"tampa, florida","65,890",1998
35,george kittle,te,49ers,levi's stadium,"santa clara, california","68,500",2014
36,rashawn slater,ot,chargers,sofi stadium,"inglewood, california","70,240",2020
37,justin herbert,qb,chargers,sofi stadium,"inglewood, california","70,240",2020
38,nike bosa,de,49ers,levi's stadium,"santa clara, california","68,500",2014
39,zack martin,g,dallas cowboys,at&t stadium,"arlington, texas","80,000",2009
40,joe burrow,qb,bengals,paul brown stadium,"cincinnati, ohio","65,515",2000
41,james conner,rb,cardinals,state farm stadium,"glendale, arizona","63,400",2006
42,kenny moore ii,cb,colts,lucas oil stadium,"indianapolis, indiana","67,000",2008
43,jaylen waddle,wr,dolphins,hard rock stadium,"miami gardens, florida","65,326",1987
44,russell wilson,qb,broncos,empower field at mile high,nan,"76,125",2001
45,patrick mahomes ii,qb,chiefs,arrowhead stadium,nan,"76,416",1972
46,denzel ward,cb,browns,firstenergy stadium,nan,"67,895",1999
47,derrick henry,rb,titans,nissan stadium,nan,"69,143",1999
48,nick chubb,rb,browns,firstenergy stadium,nan,"67,895",1999
49,joey bosa,lb,chargers,sofi stadium,nan,"70,240",2020
50,j. jefferson,wr,vikings,us bank stadium,nan,"66,655",2016
51,stefon diggs,wr,bills,bills stadium,nan,"71,608",1973
52,mike evans,wr,buccaneers,raymond james stadium,nan,"65,890",1998
53,lamar jackson,qb,ravens,mt stadium,nan,"71,008",1998
54,da hopkins,wr,cardinals,state farm stadium,nan,"63,400",2006
55,lamar jackson,qb,ravens,m and t bank,nan,"71,008",1998
56,aaron rodgers,qb,packers,lambeau field,nan,"81,441",1957
57,austin ekeler,rb,chargers,sofi stadium,nan,"70,240",2020
58,ceedee lamb,wr,cowboys,at&t,nan,"80,000",2009
59,joel bitonio,g,browns,firstenergy stadium,nan,"67,895",1999
60,quenton nelson,g,colts,lucas oil stadium,nan,"67,000",2008
61,trevon diggs,cb,cowboys,at&t,nan,"80,000",2009
62,matthew judon,lb,patriots,gillette stadium,nan,"66,829",2002
63,ja'marr chase,wr,bengals,paul brown stadium,nan,"65,515",2000
64,j. jefferson,wr,vikings,u.s. bank stadium,nan,"66,655",2016
65,josh allen,qb,bills,bills stadium,nan,"71,608",1973
66,jordan poyer,s,bills,bills stadium,nan,"71,608",1973
67,dak prescott,qb,cowboys,at&t,nan,"80,000",2009
68,justin jefferson,wr,vikings,u.s. bank stadium,nan,"66,655",2016
69,shaquille leonard,lb,colts,lucas oil stadium,nan,"67,000",2008
70,micah parsons,lb,cowboys,at&t,nan,"80,000",2009
71,dak prescott,qb,cowboys,at&t stadium,nan,"80,000",2009
72,nick bosa,de,49ers,levi's stadium,nan,"68,500",2014
73,davante adams,wr,raiders,allegiant stadium,nan,"65,000",2020
74,zack martin,g,cowboys,at&t,nan,"80,000",2009
75,jamarr chase,wr,bengals,paul brown stadium,nan,"65,515",2000
76,kirk cousins,qb,vikings,us bank stadium,nan,"66,655",2016
77,jimmie ward,s,49ers,levi's stadium,nan,"68,500",2014
78,travis kelce,te,chiefs,arrowhead stadium,nan,"76,416",1972
79,ceedee lamb,wr,cowboys,at&t stadium,nan,"80,000",2009
80,de'vondre campbell,lb,packers,lambeau field,nan,"81,441",1957
81,justin jefferson,wr,vikings,us bank stadium,nan,"66,655",2016
82,shaquil barrett,lb,buccaneers,raymond james stadium,nan,"65,890",1998
83,trevon diggs,cb,cowboys,at&t stadium,nan,"80,000",2009
84,jonathan allen,nan,commanders,fedexfield,"landover, maryland","82,000",1997
85,deandre hopkins,nan,cardinals,state farm stadium,"glendale, arizona","63,400",2006
86,andrews,nan,ravens,mt stadium,baltimore,"71,008",1998
87,t.j. watt,nan,steelers,heinz field,"pittsburgh, pennsylvania","68,400",2001
88,kevin byard,nan,titans,nissan stadium,"nashville, tennessee","69,143",1999
89,devin white,nan,buccaneers,raymond james stadium,"tampa, florida","65,890",1998
90,tyron smith,nan,dallas cowboys,at&t stadium,"arlington, texas","80,000",2009
91,micah hyde,nan,bills,bills stadium,"orchard park, new york","71,608",1973
92,tyron smith,nan,cowboys,at&t stadium,"arlington, texas","80,000",2009
93,brian burns,nan,panthers,bank of america stadium,"charlotte, north carolina","75,523",1996
94,mark andrews,nan,ravens,m and t bank,"baltimore, maryland","71,008",1998
95,keenan allen,nan,chargers,sofi stadium,"inglewood, california","70,240",2020
96,joe mixon,nan,bengals,paul brown stadium,"cincinnati, ohio","65,515",2000
97,antoine winfield jr.,nan,buccaneers,raymond james stadium,"tampa, florida","65,890",1998
98,corey linsley,nan,chargers,sofi stadium,"inglewood, california","70,240",2020
99,demario davis,nan,saints,mercedes-benz superdome,"new orleans, louisiana","73,208",1975
100,robert quinn de,nan,bears,soldier field,"chicago, illinois","61,500",1924[nb 1]
101,mark andrews,nan,ravens,m&t bank stadium,"baltimore, maryland","71,008",1998
102,deforest buckner,nan,colts,lucas oil stadium,"indianapolis, indiana","67,000",2008
103,budda baker,nan,cardinals,state farm stadium,"glendale, arizona","63,400",2006
104,kyle juszczyk,nan,49ers,levi's stadium,"santa clara, california","68,500",2014
105,austin ekele,nan,chargers,sofi stadium,inglewood,"70,240",2020
106,derek carr,nan,raiders,allegiant stadium,"paradise, nevada","65,000",2020
107,micah parsons,nan,dallas cowboys,at&t stadium,"arlington, texas","80,000",2009
108,josh alln,nan,bills,bills stadium,"orchard park, new york","71,608",1973
109,jeffery simmons,nan,titans,nissan stadium,"nashville, tennessee","69,143",1999
110,chandler jones,nan,raiders,allegiant stadium,"paradise, nevada","65,000",2020
111,xavien howard,nan,dolphins,hard rock stadium,"miami gardens, florida","65,326",1987
112,justin simmons,nan,broncos,empower field at mile high,"denver, colorado","76,125",2001
113,justin tucker,nan,ravens,m&t bank stadium,"baltimore, maryland","71,008",1998
114,kyle pitts,nan,falcons,mercedes-benz stadium,"atlanta, georgia","71,000",2017
115,mac jones,nan,patriots,gillette stadium,"foxborough, massachusetts","66,829",2002
116,jamarr chase,wr,bengals,paul brown,"cincinnati, ohio",nan,2000
117,kenny moore ii,cb,colts,lucas stadium,nan,"67,000",nan
118,jonathan taylor,rb,colts,lucas stadium,nan,"67,000",nan
119,shaquille leonard,lb,colts,lucas stadium,nan,"67,000",nan
120,quenton nelson,g,colts,lucas stadium,nan,"67,000",nan
