Player,Position,Team
Kyler Murray,QB,Cardinals
Tom Brad,QB,Buccaneer
Joel Bitonio,G,Browns
CeeDee Lamb,WR,Cowboys
Jason Kelce,C,Eagles
Quandre Diggs,S,Seahawks
Tristan Wirfs,OT,Buccaneers
Tyrann Mathieu,S,Saints
Shaquil Barrett,LB,Buccaneers
Jeffery Simmons,DT,Titans
Joe Mixon,RB,Bengals
Cameron Jordan,DE,Saints
Ja'Marr Chase,WR,Bengals
Shaquille Leonard,LB,Colts
Justin Simmons,S,Broncos
Joe Burrow,QB,Bengals
Travis Kelce,TE,Chiefs
Kenny Moore II,CB,Colts
Trent Williams,OT,49ers
Stefon Diggs,WR,Bills
Maxx Crosby,DE,Raiders
Jamarr Chase,WR,Bengals
Jaylen Waddle,WR,Dolphins
Brian Burns,DE,Panthers
Denzel Ward,CB,Browns
DeForest Buckner,DT,Colts
Von Miller,LB,Bills
Kyle Juszczyk,FB,49ers
Tyreek Hill,WR,Dolphins
Roquan Smith,LB,Bears
Aaron Rodgers,QB,Packers
Joey Bosa,LB,Chargers
Lamar Jackson,QB,Ravens
Alvin Kamara,RB,Saints
Jordan Poyer,S,Bills
Devin White,LB,Buccaneers
Marshon Lattimore,CB,Saints
Darius Slay,CB,Eagles
Zack Martin,G,Dallas Cowboys
Myles Garrett,DE,Browns
Nike Bosa,DE,49ers
Quenton Nelson,G,Colts
Corey Linsley,C,Chargers
Patrick Mahomes II,QB,Chiefs
Trey Hendrickson,DE,Bengals
Xavien Howard,CB,Dolphins
Jonathan Allen,DT,Commanders
Mac Jones,QB,Patriots
Keenan Allen,WR,Chargers
Micah Parsons,LB,Cowboys
Austin Ekele,RB,Chargers
Justin Tucker,K,Ravens
Dalvin Cook,RB,Vikings
Russell Wilson,QB,Broncos
Josh Alln,QB,Bills
Robert Quinn DE,,Bears
Mark Andrews,TE,Ravens
Cordarrelle Patterson,RB,Falcons
Wyatt Teller,G,Browns
Matthew Judon,LB,Patriots
Darren Waller,TE,Raiders
Dak Prescott,QB,Cowboys
Rashawn Slater,OT,Chargers
